endTime,artistName,trackName,msPlayed
2023-10-25 18:28,Noah Kahan,Homesick,533
2023-10-25 18:28,Noah Kahan,Dial Drunk,27285
2023-10-25 18:40,Noah Kahan,You’re Gonna Go Far,7317
2023-10-25 18:40,Noah Kahan,Maine,6357
2023-10-25 18:40,Noah Kahan,Paul Revere,142976
2023-10-25 18:45,Noah Kahan,Orange Juice,294506
2023-10-25 18:45,Young the Giant,My Body - 2020 Remaster,5887
2023-10-25 18:45,Peter Bjorn and John,Young Folks,18538
2023-10-25 18:46,BoyWithUke,IDGAF (with blackbear),12949
2023-10-25 18:49,Noah Kahan,You’re Gonna Go Far,221256
2023-10-25 18:50,King Harvest,Dancing in the Moonlight,34538
2023-10-25 18:50,King Harvest,Dancing in the Moonlight,1322
2023-10-25 18:50,The Beatles,Here Comes The Sun - Remastered 2009,1237
2023-10-25 18:50,Leach,Little Taste of Heaven,1066
2023-10-25 18:50,Calvin Harris,Feel So Close - Radio Edit,2755
2023-10-25 18:50,MisterWives,SUPERBLOOM,1664
2023-10-25 18:50,Cage The Elephant,Trouble,1920
2023-10-25 18:50,Frankie Valli & The Four Seasons,Rag Doll,1920
2023-10-25 19:24,BoyWithUke,Trauma,4288
2023-10-25 19:24,Edward Sharpe & The Magnetic Zeros,Home - 2019 - Remaster,1280
2023-10-26 12:58,Cage The Elephant,Cold Cold Cold,1526
2023-10-26 12:58,Peter Bjorn and John,Young Folks,276693
2023-10-26 12:58,Peter Bjorn and John,Young Folks,981
2023-10-26 21:42,Bakar,Hell N Back,40000
2023-10-26 21:46,Noah Kahan,Paul Revere,213313
2023-10-26 21:49,Noah Kahan,Homesick,194416
2023-10-26 22:04,Noah Kahan,You’re Gonna Go Far,960
2023-10-26 22:04,Of Monsters and Men,Dirty Paws,57552
2023-10-26 22:08,Noah Kahan,Growing Sideways,255143
2023-10-26 22:13,Noah Kahan,Orange Juice,297103
